Model,Full,UC-only,Action-only,None,Total_Methods_Analyzed
ChatGPT-4o,88,174,0,13,275
ChatGPT-o3,358,0,0,74,432
Claude3.7,661,0,0,73,734
DeepSeek(R1),156,28,0,132,316
Gemini-2.5-Pro-Preview-05-06,310,0,0,167,477
Grok3,58,0,0,236,294
Llama4,0,238,0,30,268
Mistral,0,171,0,33,204
Qwen3,169,31,0,173,373
Grand Total,1800,642,0,931,3373
