Model,IQR_ParamRichness,Ret. (%),camelCase (%),LexDiv,+,-,#,None_Visibility
ChatGPT-4o,2.00,34.55,100.00,0.81,100.00,0.00,0.00,0.00
ChatGPT-o3,1.25,40.64,100.00,0.81,100.00,0.00,0.00,0.00
Claude3.7,1.00,55.44,100.00,0.82,100.00,0.00,0.00,0.00
DeepSeek(R1),1.00,46.42,100.00,0.79,99.37,0.00,0.00,0.63
Gemini-2.5-Pro-Preview-05-06,1.00,32.45,100.00,0.81,98.32,0.42,1.26,0.00
Grok3,1.75,32.43,100.00,0.81,99.66,0.34,0.00,0.00
Llama4,0.00,11.92,100.00,0.81,100.00,0.00,0.00,0.00
Mistral,3.00,78.13,100.00,0.81,100.00,0.00,0.00,0.00
Qwen3,1.00,26.98,100.00,0.80,99.73,0.27,0.00,0.00
