Model,IQR,IQR,Ret.,+,Vis_-,#,None_Vis
ChatGPT-4o,2.00,2.00,35.27,100.00,0.00,0.00,0.00
ChatGPT-o3,1.25,1.25,39.58,100.00,0.00,0.00,0.00
Claude3.7,1.00,1.00,54.50,100.00,0.00,0.00,0.00
DeepSeek(R1),1.00,1.00,45.25,99.37,0.00,0.00,0.00
Gemini-2.5-Pro-Preview-05-06,1.00,1.00,33.54,98.32,0.42,1.26,0.00
Grok3,1.75,1.75,35.71,99.66,0.34,0.00,0.00
Llama4,0.00,0.00,12.31,100.00,0.00,0.00,0.00
Mistral,3.00,3.00,77.45,100.00,0.00,0.00,0.00
Qwen3,1.00,1.00,26.54,99.73,0.27,0.00,0.00
