Model,Param_IQR
ChatGPT-4o,2.00
ChatGPT-o3,1.25
Claude3.7,1.00
DeepSeek(R1),1.00
Gemini-2.5-Pro-Preview-05-06,1.00
Grok3,1.75
Llama4,0.00
Mistral,3.00
Qwen3,1.00
