Model,Total_Generated_Methods_All_Runs,Min_Methods_Per_Run,Max_Methods_Per_Run
ChatGPT-4o,275,18.0,33.0
ChatGPT-o3,432,25.0,61.0
Claude3.7,734,63.0,85.0
DeepSeek(R1),316,14.0,42.0
Gemini-2.5-Pro-Preview-05-06,477,20.0,79.0
Grok3,294,8.0,72.0
Llama4,268,17.0,40.0
Mistral,204,18.0,23.0
Qwen3,373,28.0,58.0
Grand Total,3373,,
