Model,UniqueCore,TotalCore
ChatGPT-4o,31,132
ChatGPT-o3,29,141
Claude3.7,30,173
DeepSeek(R1),31,121
Gemini-2.5-Pro-Preview-05-06,29,126
Grok3,30,105
Llama4,27,164
Mistral,16,123
Qwen3,32,165
