Model,Full,UC-only,None
ChatGPT-4o,32.00,63.27,4.73
ChatGPT-o3,82.87,0.00,17.13
Claude3.7,90.05,0.00,9.95
DeepSeek(R1),49.37,8.86,41.77
Gemini-2.5-Pro-Preview-05-06,64.99,0.00,35.01
Grok3,19.73,0.00,80.27
Llama4,0.00,88.81,11.19
Mistral,0.00,83.82,16.18
Qwen3,45.31,8.31,46.38
