Model,Full,UC-only,None
ChatGPT-4o,88,174,13
ChatGPT-o3,358,0,74
Claude3.7,661,0,73
DeepSeek(R1),156,28,132
Gemini-2.5-Pro-Preview-05-06,310,0,167
Grok3,58,0,236
Llama4,0,238,30
Mistral,0,171,33
Qwen3,169,31,173
